"name";"link";"ingredients"
"Chili Con Carne";;"[{""amount"" :2, ""measurement"": ""stk"", ""name"": ""løg""}]"
"Chili Sin Carne";;"[{""name"": ""chickenbreast"", ""amount"": 2},  {""name"": ""peas"", ""amount"": 2}]"
"Spaghetti Bolognese";;"[{""name"": ""chickenbreast"", ""amount"": 3},  {""name"": ""peas"", ""amount"": 3}]"
"Kartoffel Og Brocolli Suppe";;"[{""name"": ""chickenbreast"", ""amount"": 4},  {""name"": ""peas"", ""amount"": 4}]"
"Chicken Penang";"https://www.valdemarsro.dk/panang-karry-med-kylling/";"[
{""amount"" :2, ""measurement"": ""stk"", ""name"": ""løg""},
{""amount"" :4, ""measurement"": ""fed"", ""name"": ""hvidløg""},
{""amount"" :300, ""measurement"": ""g"", ""name"": ""kyllingefilet""},
{""amount"" :20, ""measurement"": ""g"", ""name"": ""ingefær""},
{""amount"" :2, ""measurement"": ""spsk"", ""name"": ""panang paste""},
{""amount"" :3, ""name"": ""gulerod""},
{""amount"" :200, ""measurement"": ""g"", ""name"": ""broccoli""},
{""amount"" :100, ""measurement"": ""g"", ""name"": ""edamamebønner""},
{""amount"" :1, ""measurement"": ""dåse"", ""name"": ""kokosmælk""},
{""amount"" :2, ""name"": ""gul peberfrugt""},
{""amount"" :1, ""measurement"": ""spsk"", ""name"": ""peanutbutter""},
{""amount"" :1, ""measurement"": ""tsk"", ""name"": ""kokossukker""},
{""amount"" :1, ""measurement"": ""spsk"", ""name"": ""soja""},
{""amount"" :1, ""measurement"": ""stk"", ""name"": ""lime""},
{""amount"" :1, ""measurement"": ""spsk"", ""name"": ""olivenolie""},
{""amount"" :3, ""measurement"": ""dl"", ""name"": ""ris""},
{""amount"" :1, ""measurement"": ""dl"", ""name"": ""saltede peanuts""},
{""amount"" :1, ""measurement"": ""håndfuld"", ""name"": ""frisk koriander""}
]"
"Stegt Rødspætte Med Persillesauce";"https://www.valdemarsro.dk/stegt-roedspaette/";"[
{""amount"": 4, ""measurement"" : ""stk"", ""name"": ""rødspætte""},
{""amount"": 1, ""measurement"" : ""stk"", ""name"": ""æg""},
{""amount"": 2, ""measurement"" : ""dl"", ""name"": ""rugmel""},
{""amount"": 2, ""measurement"" : ""spsk"", ""name"": ""smør""},
{""amount"": 2, ""measurement"" : ""spsk"", ""name"": ""hvedemel""},
{""amount"": 5, ""measurement"" : ""dl"", ""name"": ""mælk""},
{""amount"": 0.50 ,""measurement"" : ""50"", ""name"": ""øko citron""},
{""amount"": 2, ""measurement"" : ""håndfulde"", ""name"": ""persille""},
{""amount"": 0, ""measurement"" : """", ""name"": ""salt""},
{""amount"": 0, ""measurement"" : """", ""name"": ""peber""},
{""amount"": 1, ""measurement"" : ""kg"", ""name"": ""kartoffel""},
{""amount"": """", ""measurement"" : """", ""name"": ""vand""}
]"
"Kylling Kiev";"https://www.valdemarsro.dk/kylling-kiev/";"[
{""amount"" :4 , ""measurement"" : ""stk"", ""name"": ""kyllingebryst""},
{""amount"" :75, ""measurement"" : ""g"", ""name"": ""smør""},
{""amount"" :1, ""measurement"" : ""spsk"", ""name"": ""frisk basilikum""},
{""amount"" :1, ""measurement"" : ""spsk"", ""name"": ""frisk estragon""},
{""amount"" :1, ""measurement"" : ""fed"", ""name"": ""hvidløg""},
{""amount"" :2, ""measurement"" : ""spsk"", ""name"": ""hvedemel""},
{""amount"" :1, ""measurement"" : ""stk"", ""name"": ""æg""},
{""amount"" :1, ""measurement"" : ""dl"", ""name"": ""rasp""},
{""amount"" :2, ""measurement"" : ""spsk"", ""name"": ""pankorasp""},
{""amount"" : 0, ""measurement"" : """", ""name"": ""salt""},
{""amount"" : 0, ""measurement"" : "" "", ""name"": ""peber""}
]"
"Pasta Aglio E Olio";"https://www.valdemarsro.dk/pasta-aglio-e-olio/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Vegetar Panang Karry Med Kikærter Og Grøntsager";"https://www.valdemarsro.dk/vegetar-panang-karry/";"[{""name"": ""monkey"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
"Pasta Med Rejer Og Hvidløg";"https://www.valdemarsro.dk/pasta-med-rejer-og-hvidloeg/";"[{""name"": ""chickenbreast"", ""amount"": 1000},  {""name"": ""peas"", ""amount"": 500}]"
